userReview,score,thumbsUpCount,reviewCreatedVersion,review_datetime,replyContent,repliedAt,sentimentRating,sentimentScore
Easy and convenience. Anyone can easily fill itr at here.,5,0,2.6.2,24-07-2023 19:20,,,5 star,0.666580558
Awesome!!,5,0,2.6.2,24-07-2023 13:26,,,5 star,0.876916707
marvelous great experience soooooooo smooooooth,5,0,2.6.2,24-07-2023 12:47,,,5 star,0.836726904
Wazirx india crypto platform is not available. Please add it. You will get more and more users on this platform.,1,0,2.6.2,24-07-2023 10:30,"Hey Abhay, Nachiketa here. I'm the developer of the app. 

Crypto integrations are in our pipeline and we plan to release them in the near future. You can also reach out to WazirX and ask them for an integration with Quicko for a quick integration. 

If you've enjoyed the otherwise, do consider updating your rating! 

Have a good day!",24-07-2023 11:36,1 star,0.364123881
App is good and simple but not showing angel one broker,5,0,2.6.2,24-07-2023 07:35,Hey there! AngelOne integration is now live on the latest version of the app! You can update and glyde to e-file,24-07-2023 21:05,3 star,0.399736643
"Other things are fine, but it was showing me 8000 tax when i was liable for 0, cleartax did job pretty well!",2,0,2.6.2,23-07-2023 22:11,"Hey Hrushikesh, Nachiketa here. I'm the developer of the app.

I'm sorry that you had a confusing experience. It is quite unusual for such discrepancy to occur, as a bunch of users are able to succeed on the app. Nonetheless, we understand each user's situation is unique and we are happy to investigate your issue thoroughly.",24-07-2023 21:13,3 star,0.448453635
it's best App to file itr,5,0,2.6.2,23-07-2023 19:21,,,5 star,0.543848574
ITR filing made dead easy,5,0,2.6.2,23-07-2023 17:08,,,4 star,0.480221838
Fantastic app,5,0,2.6.2,23-07-2023 12:59,,,5 star,0.814635515
excellent,5,0,2.6.2,23-07-2023 08:59,,,5 star,0.866912901
Loved it,5,0,2.6.2,22-07-2023 19:50,,,5 star,0.637915134
Amazingly simple and intuitive,5,0,2.6.2,22-07-2023 17:15,,,5 star,0.887581646
very good,5,0,2.6.2,22-07-2023 15:12,,,5 star,0.547944486
it was really great experience..with in short span done..,4,0,2.6.2,21-07-2023 21:07,,,5 star,0.488363147
Nice Application and helpful for file income tax return.....,5,0,2.6.2,21-07-2023 17:50,,,5 star,0.515525222
AngelOne Not in List,2,0,2.6.2,21-07-2023 10:36,"Hey Pawan, Nachiketa here. AngelOne integration is now live on the latest version of the app! You can update and glyde to e-file!",24-07-2023 21:05,1 star,0.437165409
"Third class app as well as support people with full of attitude, I got wrost experience, once you pay money they will forget you... Wrost experience",1,0,2.6.2,20-07-2023 03:38,"Hey Pradip, Nachiketa here. I'm the developer of the app. 

I can see that you're already in conversation with our team about your situation and rest assured they'll help you succeed on the app like all our other users have. If you have any other questions, feel free to email us and I'll make sure that our team reaches out as soon as possible.",20-07-2023 05:21,1 star,0.372712761
"Sir, While file f&o losses from zerodha , it show non speculative loss. But correct one is speculative !",4,0,2.6.2,19-07-2023 06:16,,,3 star,0.372996986
excellent,5,0,2.6.2,18-07-2023 08:20,,,5 star,0.866912901
"Best itr filing application, user friendly, super application.",5,0,2.6.2,17-07-2023 14:35,,,5 star,0.903409958
extremely friendly and comprehensive,5,0,2.6.2,17-07-2023 13:42,,,5 star,0.734377384
Wow..just Wow app..i was seaching on youtube about Itr3 and it was so difficult..Zerodha recommend me this app n it was magic.. So simple tax filling process..loved it .5 star.. Thanks Glyde and team.. Kudos,5,0,2.6.2,17-07-2023 09:22,,,5 star,0.888775885
excellent,5,0,2.6.2,16-07-2023 20:52,,,5 star,0.866912901
very easy,5,0,2.6.2,16-07-2023 19:30,,,5 star,0.538736641
"Very user friendly app. It retrieves most of the data, you need not to key in it again and again.",5,1,2.6.2,16-07-2023 17:01,,,5 star,0.576690733
very nice,5,0,2.6.2,16-07-2023 11:41,,,5 star,0.651533484
I took an annual subscription but my broker ICICI securities is not in the app. Moreover there is no arrangement for uploading P/L statement.,1,1,2.6.2,16-07-2023 10:03,"Hey Vijay, Nachiketa here. I'm the developer on glyde. 

We are working with ICICI Securities to make the integration available as soon as possible and expect it to go live within a week.",16-07-2023 11:33,1 star,0.436601996
Beautifully designed. Super swift,5,0,2.6.2,15-07-2023 18:36,,,5 star,0.872643292
bbest,5,0,2.6.2,15-07-2023 14:35,,,5 star,0.261157274
For Zerodha users traded volume is more than 100 ...app is charging amount. It is not fair. Pl see,5,0,2.6.2,14-07-2023 15:26,,,2 star,0.350152791
"awesome, Hassel free",5,0,2.6.0,13-07-2023 18:09,,,5 star,0.800562441
"This is genuine review. I wanted to say thank you glyde. It was really awesome. Only drawback is your app is little confusing. There should be a confirmation button, I was getting confused because I was unware that it automatically saves information. By the way many many thanks to you",5,2,2.6.0,12-07-2023 22:43,"Hey there! Nachiketa here, I'm the developer of the app. We're over the moon that you had a good experience glyding!

We hear you and we'll do our best to make the app even simpler to use.",12-07-2023 23:03,4 star,0.769091666
good and helpful,5,0,2.6.0,12-07-2023 18:36,,,5 star,0.48195222
Absolutely incredible . . Never thought filing would be so easier . .,5,0,2.6.0,12-07-2023 16:44,,,5 star,0.912327945
This is the best tax filing application. Best interface in quicko website.Its is so easy to understand the terminology of income tax here and filing tax return is so quick .It is highly recommend to use this especially for salaried person.,5,3,2.6.0,11-07-2023 18:53,,,5 star,0.936111689
"Pathetic service. App is ok, but service from the vendor is absolutely pathetic and you won't be able to file your taxes on time as no one responds to your queries and you would be forced to buy Pro Plan.",1,1,2.6.0,11-07-2023 08:23,"Hello Mr Ray, Nachiketa here. I'm the developer on glyde. 

Thanks for trying the app out. I'm sorry that you had an inconvenient experience. 

If you can send an email at glyde@quicko.com and refer to this conversation, I'd be happy to personally take a look at your situation and help you solve your queries.",11-07-2023 19:07,1 star,0.625094295
Thank you so much,5,0,2.6.0,09-07-2023 17:50,,,5 star,0.759162188
so simple,5,0,2.6.0,09-07-2023 09:25,,,5 star,0.371062487
"I kid you not, I really did Glyde through the ITR process! It was my first time... let's see how it goes.",5,0,2.6.0,08-07-2023 20:02,,,5 star,0.499011099
best app for itr file,5,0,2.6.0,08-07-2023 10:29,,,5 star,0.811480165
It's user friendly.,4,0,2.6.0,08-07-2023 00:25,,,4 star,0.469055265
fantastic app,5,0,2.6.0,07-07-2023 19:14,,,5 star,0.814635515
Awesome app Great app for all users including new user,5,0,2.6.0,05-07-2023 09:44,,,5 star,0.836195171
Very convenient to use,5,0,2.6.0,04-07-2023 15:09,,,5 star,0.602285087
Since last 7 days error of outage is appearing while submitting file with meagre amount of tax challan. Not able to find any solution,1,1,2.6.0,04-07-2023 10:11,"Hey Ravi, Nachiketa here. I'm the developer of the app. Due to changes in rules for tax payment by ITD, we've had to pause the feature momentarily. 

You can still pay your taxes from the ITD Portal, report tax credits and e-file through the app. 

If you need any further help, you can raise a ticket from the app!",04-07-2023 10:47,1 star,0.771773398
It has never been so easy.,5,0,2.6.0,03-07-2023 21:21,,,4 star,0.343322426
"Application is not working properly while filling the itr and also not able to everify. As you are charging very high as compared to clear tax,so your system should be stable",1,2,2.6.0,03-07-2023 09:28,"Hey there, Nachiketa here. I'm the developer on glyde. If you're facing any issues while e-filing, our team would be more than happy to help you out if you could reach out to us by raising a ticket from the app!",03-07-2023 09:51,2 star,0.492707312
Would be great if support for ITR 4 is also added,3,0,2.6.0,02-07-2023 00:32,,,3 star,0.459802777
"Wonderful, you don't need to worry about tax and e-filing if you're using glyde it covers everything you need.",5,1,2.5.4,27-06-2023 20:24,,,5 star,0.858058035
easy,5,0,2.5.4,27-06-2023 05:26,,,5 star,0.537934959
Facing error while itr filing,3,0,2.5.4,27-06-2023 00:44,,,1 star,0.441118658
very userfriendly,5,0,2.5.4,25-06-2023 09:02,,,5 star,0.413478374
Angel One Not showing in the broking list,5,0,2.5.4,24-06-2023 20:00,"Hi Chiranjeevi. I'm Nachiketa, the developer on glyde. 

Currently, the Angel One import feature is facing some technical issues. We are working with them to solve this as soon as possible and we expect that you'll be able to import your trades by next week!",24-06-2023 20:36,1 star,0.475064099
quite smooth except for payment part,4,0,2.5.4,24-06-2023 18:19,,,4 star,0.469480187
"Good One, Easy Tax filing for Share Traders..",5,0,2.5.4,24-06-2023 18:17,,,4 star,0.607870102
Great App. Super easy tax filing.,5,0,2.5.4,23-06-2023 17:45,,,5 star,0.81966877
Smooth. fast. beautiful. useful,5,0,2.5.4,22-06-2023 20:35,,,5 star,0.627972662
"App is not opening,It is showing update but already updated and not opening",1,1,2.5.2,21-06-2023 17:48,"Hey Swarup, Nachiketa here. I'm the developer of the app. Sorry for the inconvenience! Google Play Store was facing some issues with processing our update. Please try again now.",21-06-2023 18:16,1 star,0.582230866
very nice,5,0,2.5.2,21-06-2023 13:26,,,5 star,0.651533484
Easy-to-use and hassle-free free experience,5,0,2.5.2,20-06-2023 21:15,,,4 star,0.461058915
great and very easy app for itr,5,1,2.5.2,20-06-2023 16:52,,,5 star,0.75739944
Awesome and wonderful app developed. I have never seen this type of advanced app. I was facing acute stress in filing ITR and it has been resolved by login to the GLYDE. Thanks for Glyde team for developing such a wonderful app.,5,9,2.5.2,20-06-2023 14:55,,,5 star,0.895923793
it just glided,5,0,2.5.2,17-06-2023 17:07,,,5 star,0.37656489
Angelone is not in broker list . But it is showing in their pro plan benefits. They are fooling the people . They cheated 1401 rs from me . Fraud company .,1,0,2.5.2,17-06-2023 16:35,"Hi Rachna, Nachiketa here. I'm the developer of the app. 

We do support importing trades from AngelOne but due to some changes on their end we've had to temporarily disable the integration. We plan to activate it as soon as possible. 

I can see that you've already raised a ticket from the app so rest assured, our team will help you out.",17-06-2023 18:16,1 star,0.697500229
"No proper guidance, what happens after we review? Waiting for last 3 days...no option to efile visible yet as shown in the video. Pathetic. Even the Json downloaded doesnt get uploaded on IT dept portal for e-filing.",1,2,2.5.2,10-06-2023 16:20,"Hey Abhijit, Nachiketa here, the developer on glyde. We are working with ITD to enable e-filing as soon as we can. Meanwhile, if you want to e-file, you can download the JSON file after review from the app and upload it to the ITD Portal. If you need more help, feel free to reach out by raising a ticket from the app!",10-06-2023 16:06,1 star,0.812177896
Good app. Dumbest customer service. Regret spending 1400₹ for premium,5,1,2.2.5,01-06-2023 10:51,,,3 star,0.365574867
easy and fast,5,0,,18-05-2023 17:09,,,5 star,0.653324366
"Awesome app, it's simplifies taxation for me, need these kind of good apps",5,0,,18-05-2023 13:31,,,5 star,0.731783569
loved the experience! Made taxes so easy. Hopefully the pay part starts working soon,5,0,2.5.2,18-05-2023 13:31,,,5 star,0.693680525
Extremely helpful app and one-stop solution for all the tax-related issues. Good work!,5,1,2.5.2,18-05-2023 13:07,,,5 star,0.733465314
Amazing app. Never been too easy filing. Filed my entire family's return using the app. Amazing experience!,5,4,2.4.4,18-05-2023 11:36,,,5 star,0.937010884
"Amazing app. I was able to prepare my income tax return in minutes. Also, love the advance tax calculator feature.",5,6,2.5.2,18-05-2023 11:33,,,5 star,0.906744599
What a fantastic app,5,0,,18-05-2023 11:31,,,5 star,0.900809824
New,3,0,2.4.2,11-05-2023 18:48,,,5 star,0.485059202
I have download it but unable to see icon on my mobile.,1,0,,16-04-2023 16:41,"Hey Sachin. Nachiketa here, I'm the developer of the app. 

As far as I can tell, the app hasn't been correctly installed on your device. I can also see that the problem seems to be limited to your device. I'd suggest that you contact your device manufacturer or a service centre.

Thank you.",16-04-2023 19:14,3 star,0.363130242
"App is unable to add Paytm Money App, I tried many times today. .... ...",3,1,2.4.0,31-03-2023 14:21,"Edit (02:35 PM):
Hey Gaurav. Thanks for reaching out. The Paytm Money integration seems to be working from our end. If you're facing an issue trying to import your details, please reach out to us via raising a ticket or emailing us at help@quicko.com so that we can help you with your predicament.",31-03-2023 14:37,1 star,0.47939533
"Not all options added for tax rebate e.g. no option to avail rebate on interest paid for house loan, children education allowance, principal on home loan etc.",1,4,2.3.2,04-03-2023 11:30,"Hey Vijay, Nachiketa here. I'm the developer of the app. We do allow users to claim interest paid & principal on home loan. If you need further help with this, you can raise a ticket from within the app or reach out to us at help@quicko.com",06-03-2023 10:55,1 star,0.348653495
Showing wrong details. Even raise ticket is also not working.,1,2,2.3.2,31-01-2023 22:39,Hey Kaushal. Sorry to hear that. We will look into it and get back to you as soon as possible.,31-01-2023 22:41,1 star,0.83304441
very easy ITR filing,5,0,2.3.1,31-12-2022 16:56,,,5 star,0.505612075
Amazing App. Saved me a ton of heartache NOT just headache! KUDOS!!,5,3,2.3.1,31-12-2022 13:12,,,5 star,0.880597711
Tax payment is not working,3,0,2.3.1,25-12-2022 20:02,"Hey there! Nachiketa here, the developer on glyde. Tax Payments have been temporarily halted due to some changes within the Income Tax Department. We are working with our partners to bring them back again as soon as possible. Meanwhile, you can write to us at help@quicko.com for help with paying your taxes.",25-12-2022 21:06,1 star,0.641785562
Great app,5,1,2.3.0,21-12-2022 22:07,,,5 star,0.75608927
Very deficult to operate,1,0,,03-12-2022 15:21,,,1 star,0.788481057
"Integration with Paytm money is not working with pro plan, have been trying to do it for ages now, the error always says service not available at Paytm money I don't know how long it will not be available.",1,2,2.3.0,08-11-2022 09:26,,,1 star,0.440205872
Not bad,5,0,2.2.5,15-10-2022 11:49,,,3 star,0.607321918
sexy af,5,0,2.2.6,16-09-2022 22:06,,,5 star,0.536060929
Amazing app. Can't wait to checkout it's competitors. I want the app to be able to import bank statement and analyse my income. Have no confidence that I will ever earn enough to pay income tax.,5,4,2.2.5,14-09-2022 00:37,,,5 star,0.894552112
"Simple, Accurate and Easy to use. One less thing to worry about.",5,0,2.2.5,03-09-2022 21:36,,,5 star,0.604015827
"Thank you glyde , very nice app 🙏🙏 mera CA ka kharach bacha diya , mujhe English mai likhna nehi ata",5,0,2.2.5,26-08-2022 16:19,,,5 star,0.512164414
From where I can know tax audit is required or not. You are just providing turnover. Please clarify this.,3,1,2.2.3,12-08-2022 21:44,"Hey Sukanta! Nachiketa here, the developer on glyde. If tax audit ia required in your case, we give you an option to set your preference on the file tab of the app. If you do not see an option, audit is not required. 

If you have any further questions, feel free to raise a ticket from within the app or drop us an email at help@quicko.com",12-08-2022 22:01,3 star,0.264764786
Not moving while downloading only 45% downloaded,2,0,,01-08-2022 09:48,,,1 star,0.677897274
Challan not generated but amount deducted please let me know what to do,1,0,2.2.3,31-07-2022 21:15,"Hey Bhaskar! Nachiketa here, the developer on glyde. We have auto refunds in place for cases such as yours. If the refunded amount is not credited back to your account within 24 hours, kindly share your payment details at help@quicko.com and we will help you with your situation.",31-07-2022 21:22,1 star,0.348409235
Great...Easy...& Free...,5,0,2.2.3,31-07-2022 17:57,,,5 star,0.774551988
amazing I have filled my ITR...,4,0,2.2.3,31-07-2022 17:09,,,5 star,0.905198753
Anyone can do without.. Not providing anything in paid plan.. I feel like I am being robbed.. Nachiket don't tell me where to write.. Just tell me why my one stock broker is not listed and why p&l statement of other broker is not being uploaded.. Why a customer has to wait for everything even after payment of fees,1,1,2.2.3,31-07-2022 16:59,Hi Sachin. Nachiketa here. Suggested email as a method so we can have a structured conversation and help you quicker. You can drop us a mail along with the broker you're trying to integrate and we will help you resolve your situation.,31-07-2022 17:07,1 star,0.833767474
love u kasam se i an wandering here and there to file itr who have knowledge of stock market as well. love u glyde..thx u very much,5,0,2.2.3,31-07-2022 13:42,,,5 star,0.699117422
superp,5,0,2.2.3,31-07-2022 09:10,,,5 star,0.730799675
"easy, no rocket science",5,0,2.2.3,31-07-2022 08:54,,,5 star,0.299810976
easy to use sulerb,5,1,2.2.3,31-07-2022 08:31,,,5 star,0.50322026
it's damn easy for a person like me .....,5,0,2.2.3,31-07-2022 06:40,,,5 star,0.281094998
Site is not connected to GROWW app for find broker details.,3,0,2.2.3,30-07-2022 23:32,"Hey Vinit. We have an active integration with Groww where you can login with your credentials. If you need any help with the integration, please feel free to either raise a ticket from the app or drop us a mail at help@quicko.com.",30-07-2022 23:38,1 star,0.485553235
Good app and fast,5,0,2.2.3,30-07-2022 23:07,,,4 star,0.512001097
Very useful app to file ITR. Data are prefilled no need to check further thanks for the app.,5,0,2.2.3,30-07-2022 23:01,,,5 star,0.645113528
"paid 1401 charges to get Crypto gains reports, but I have to pay cointracker in bulk for the work which can be done by me. Not useful for 1401 paid, glyde should tied up with cointracker for the benefit of its users to access tax reports freely.",3,1,2.2.3,30-07-2022 23:00,,,3 star,0.398946255
very nice app to e-file return,5,0,2.2.3,30-07-2022 20:25,,,5 star,0.46268931
super duper easy,5,0,2.2.3,30-07-2022 18:31,,,5 star,0.772648811
super quick. hassle free..it was truly a seamless glyding experience even with capital gains data,5,2,2.2.2,30-07-2022 17:02,,,5 star,0.606360853
Good,5,0,2.2.3,30-07-2022 12:49,,,4 star,0.496963173
Not even possible to import pnl statements,1,0,2.2.3,30-07-2022 12:34,"Hi Saj. Nachiketa here, the developer on glyde. We are proudly helping a bunch of people integrate with broker and file their taxes. We would love to help you out with your perticular situation if you could just raise a ticket from within the app or drop us an email at help@quicko.com.",30-07-2022 12:40,1 star,0.606120408
jost chill. amazing,5,0,2.2.3,30-07-2022 11:49,,,5 star,0.825820446
nice,5,2,2.2.3,30-07-2022 10:37,,,4 star,0.436840951
